"CountyFIPS","County","State","Population"
13315,"Wilcox County","Georgia",8635
13317,"Wilkes County","Georgia",9777
13319,"Wilkinson County","Georgia",8954
13321,"Worth County","Georgia",20247
15000,"Hawaii","Hawaii",0
15001,"Hawaii County","Hawaii",201513
15003,"Honolulu County","Hawaii",974563
15005,"Kalawao County","Hawaii",86
15007,"Kauai County","Hawaii",72293
15009,"Maui County","Hawaii",167417
16000,"Idaho","Idaho",0
16001,"Ada County","Idaho",481587
16003,"Adams County","Idaho",4294
16005,"Bannock County","Idaho",87808
16007,"Bear Lake County","Idaho",6125
16009,"Benewah County","Idaho",9298
16011,"Bingham County","Idaho",46811
16013,"Blaine County","Idaho",23021
16015,"Boise County","Idaho",7831
16017,"Bonner County","Idaho",45739
16019,"Bonneville County","Idaho",119062
16021,"Boundary County","Idaho",12245
16023,"Butte County","Idaho",2597
16025,"Camas County","Idaho",1106
16027,"Canyon County","Idaho",229849
16029,"Caribou County","Idaho",7155
16031,"Cassia County","Idaho",24030
16033,"Clark County","Idaho",845
16035,"Clearwater County","Idaho",8756
16037,"Custer County","Idaho",4315
16039,"Elmore County","Idaho",27511
16041,"Franklin County","Idaho",13876
16043,"Fremont County","Idaho",13099
16045,"Gem County","Idaho",18112
16047,"Gooding County","Idaho",15179
16049,"Idaho County","Idaho",16667
16051,"Jefferson County","Idaho",29871
16053,"Jerome County","Idaho",24412
16055,"Kootenai County","Idaho",165697
16057,"Latah County","Idaho",40108
16059,"Lemhi County","Idaho",8027
16061,"Lewis County","Idaho",3838
16063,"Lincoln County","Idaho",5366
16065,"Madison County","Idaho",39907
16067,"Minidoka County","Idaho",21039
16069,"Nez Perce County","Idaho",40408
16071,"Oneida County","Idaho",4531
16073,"Owyhee County","Idaho",11823
16075,"Payette County","Idaho",23951
16077,"Power County","Idaho",7681
16079,"Shoshone County","Idaho",12882
16081,"Teton County","Idaho",12142
16083,"Twin Falls County","Idaho",86878
16085,"Valley County","Idaho",11392
16087,"Washington County","Idaho",10194
17000,"Illinois","Illinois",0
17001,"Adams County","Illinois",65435
17003,"Alexander County","Illinois",5761
17005,"Bond County","Illinois",16426
17007,"Boone County","Illinois",53544
17009,"Brown County","Illinois",6578
17011,"Bureau County","Illinois",32628
17013,"Calhoun County","Illinois",4739
17015,"Carroll County","Illinois",14305
17017,"Cass County","Illinois",12147
17019,"Champaign County","Illinois",209689
17021,"Christian County","Illinois",32304
17023,"Clark County","Illinois",15441
17025,"Clay County","Illinois",13184
17027,"Clinton County","Illinois",37562
17029,"Coles County","Illinois",50621
17031,"Cook County","Illinois",5150233
17033,"Crawford County","Illinois",18667
17035,"Cumberland County","Illinois",10766
17037,"DeKalb County","Illinois",104897
17039,"De Witt County","Illinois",15638
17041,"Douglas County","Illinois",19465
17043,"DuPage County","Illinois",922921
17045,"Edgar County","Illinois",17161
17047,"Edwards County","Illinois",6395
17049,"Effingham County","Illinois",34008
17051,"Fayette County","Illinois",21336
17053,"Ford County","Illinois",12961
17055,"Franklin County","Illinois",38469
17057,"Fulton County","Illinois",34340
17059,"Gallatin County","Illinois",4828
17061,"Greene County","Illinois",12969
17063,"Grundy County","Illinois",51054
17065,"Hamilton County","Illinois",8116
17067,"Hancock County","Illinois",17708
17069,"Hardin County","Illinois",3821
17071,"Henderson County","Illinois",6646
17073,"Henry County","Illinois",48913
17075,"Iroquois County","Illinois",27114
17077,"Jackson County","Illinois",56750
17079,"Jasper County","Illinois",9610
17081,"Jefferson County","Illinois",37684
17083,"Jersey County","Illinois",21773
17085,"Jo Daviess County","Illinois",21235
17087,"Johnson County","Illinois",12417
17089,"Kane County","Illinois",532403
17091,"Kankakee County","Illinois",109862
17093,"Kendall County","Illinois",128990
17095,"Knox County","Illinois",49699
17097,"Lake County","Illinois",696535
17099,"LaSalle County","Illinois",108669
17101,"Lawrence County","Illinois",15678
17103,"Lee County","Illinois",34096
17105,"Livingston County","Illinois",35648
17107,"Logan County","Illinois",28618
17109,"McDonough County","Illinois",29682
17111,"McHenry County","Illinois",307774
17113,"McLean County","Illinois",171517
17115,"Macon County","Illinois",104009
17117,"Macoupin County","Illinois",44926
17119,"Madison County","Illinois",262966
17121,"Marion County","Illinois",37205
17123,"Marshall County","Illinois",11438
17125,"Mason County","Illinois",13359
17127,"Massac County","Illinois",13772
17129,"Menard County","Illinois",12196
17131,"Mercer County","Illinois",15437
17133,"Monroe County","Illinois",34637
17135,"Montgomery County","Illinois",28414
17137,"Morgan County","Illinois",33658
17139,"Moultrie County","Illinois",14501
17141,"Ogle County","Illinois",50643
17143,"Peoria County","Illinois",179179
17145,"Perry County","Illinois",20916
17147,"Piatt County","Illinois",16344
17149,"Pike County","Illinois",15561
17151,"Pope County","Illinois",4177
17153,"Pulaski County","Illinois",5335
17155,"Putnam County","Illinois",5739
17157,"Randolph County","Illinois",31782
17159,"Richland County","Illinois",15513
17161,"Rock Island County","Illinois",141879
17163,"St. Clair County","Illinois",259686
17165,"Saline County","Illinois",23491
17167,"Sangamon County","Illinois",194672
17169,"Schuyler County","Illinois",6768
17171,"Scott County","Illinois",4951
17173,"Shelby County","Illinois",21634
17175,"Stark County","Illinois",5342
17177,"Stephenson County","Illinois",44498
17179,"Tazewell County","Illinois",131803
17181,"Union County","Illinois",16653
17183,"Vermilion County","Illinois",75758
17185,"Wabash County","Illinois",11520
17187,"Warren County","Illinois",16844
17189,"Washington County","Illinois",13887
17191,"Wayne County","Illinois",16215
17193,"White County","Illinois",13537
17195,"Whiteside County","Illinois",55175
17197,"Will County","Illinois",690743
17199,"Williamson County","Illinois",66597
17201,"Winnebago County","Illinois",282572
17203,"Woodford County","Illinois",38459
18000,"Indiana","Indiana",0
18001,"Adams County","Indiana",35777
18003,"Allen County","Indiana",379299
18005,"Bartholomew County","Indiana",83779
18007,"Benton County","Indiana",8748
18009,"Blackford County","Indiana",11758
18011,"Boone County","Indiana",67843
18013,"Brown County","Indiana",15092
18015,"Carroll County","Indiana",20257
18017,"Cass County","Indiana",37689
18019,"Clark County","Indiana",118302
18021,"Clay County","Indiana",26225
18023,"Clinton County","Indiana",32399
18025,"Crawford County","Indiana",10577
18027,"Daviess County","Indiana",33351
18029,"Dearborn County","Indiana",49458
18031,"Decatur County","Indiana",26559
18033,"DeKalb County","Indiana",43475
18035,"Delaware County","Indiana",114135
18037,"Dubois County","Indiana",42736
18039,"Elkhart County","Indiana",206341
18041,"Fayette County","Indiana",23102
18043,"Floyd County","Indiana",78522
18045,"Fountain County","Indiana",16346
18047,"Franklin County","Indiana",22758
18049,"Fulton County","Indiana",19974
18051,"Gibson County","Indiana",33659
18053,"Grant County","Indiana",65769
18055,"Greene County","Indiana",31922
18057,"Hamilton County","Indiana",338011
18059,"Hancock County","Indiana",78168
18061,"Harrison County","Indiana",40515
18063,"Hendricks County","Indiana",170311
18065,"Henry County","Indiana",47972
18067,"Howard County","Indiana",82544
18069,"Huntington County","Indiana",36520
18071,"Jackson County","Indiana",44231
18073,"Jasper County","Indiana",33562
18075,"Jay County","Indiana",20436
18077,"Jefferson County","Indiana",32308
18079,"Jennings County","Indiana",27735
18081,"Johnson County","Indiana",158167
18083,"Knox County","Indiana",36594
18085,"Kosciusko County","Indiana",79456
18087,"LaGrange County","Indiana",39614
18089,"Lake County","Indiana",485493
18091,"LaPorte County","Indiana",109888
18093,"Lawrence County","Indiana",45370
18095,"Madison County","Indiana",129569
18097,"Marion County","Indiana",964582
18099,"Marshall County","Indiana",46258
18101,"Martin County","Indiana",10255
18103,"Miami County","Indiana",35516
18105,"Monroe County","Indiana",148431
18107,"Montgomery County","Indiana",38338
18109,"Morgan County","Indiana",70489
18111,"Newton County","Indiana",13984
18113,"Noble County","Indiana",47744
18115,"Ohio County","Indiana",5875
18117,"Orange County","Indiana",19646
18119,"Owen County","Indiana",20799
18121,"Parke County","Indiana",16937
18123,"Perry County","Indiana",19169
18125,"Pike County","Indiana",12389
