"","sovereignt","sov_a3","admin","adm0_a3","geounit","gu_a3","subunit","su_a3","name","name_long","brk_a3","brk_name","formal_en","name_sort","iso_a3","adm0_a3_is","adm0_a3_us","continent","region_un","subregion","region_wb"
"64","Djibouti","DJI","Djibouti","DJI","Djibouti","DJI","Djibouti","DJI","Djibouti","Djibouti","DJI","Djibouti","Republic of Djibouti","Djibouti","DJI","DJI","DJI","Africa","Africa","Eastern Africa","Middle East & North Africa"
"65","Dominica","DMA","Dominica","DMA","Dominica","DMA","Dominica","DMA","Dominica","Dominica","DMA","Dominica","Commonwealth of Dominica","Dominica","DMA","DMA","DMA","North America","Americas","Caribbean","Latin America & Caribbean"
"66","Denmark","DN1","Denmark","DNK","Denmark","DNK","Denmark","DNK","Denmark","Denmark","DNK","Denmark","Kingdom of Denmark","Denmark","DNK","DNK","DNK","Europe","Europe","Northern Europe","Europe & Central Asia"
"67","Dominican Republic","DOM","Dominican Republic","DOM","Dominican Republic","DOM","Dominican Republic","DOM","Dominican Rep.","Dominican Republic","DOM","Dominican Rep.","Dominican Republic","Dominican Republic","DOM","DOM","DOM","North America","Americas","Caribbean","Latin America & Caribbean"
"68","Algeria","DZA","Algeria","DZA","Algeria","DZA","Algeria","DZA","Algeria","Algeria","DZA","Algeria","People's Democratic Republic of Algeria","Algeria","DZA","DZA","DZA","Africa","Africa","Northern Africa","Middle East & North Africa"
"69","Ecuador","ECU","Ecuador","ECU","Ecuador","ECU","Ecuador","ECU","Ecuador","Ecuador","ECU","Ecuador","Republic of Ecuador","Ecuador","ECU","ECU","ECU","South America","Americas","South America","Latin America & Caribbean"
"70","Egypt","EGY","Egypt","EGY","Egypt","EGY","Egypt","EGY","Egypt","Egypt","EGY","Egypt","Arab Republic of Egypt","Egypt, Arab Rep.","EGY","EGY","EGY","Africa","Africa","Northern Africa","Middle East & North Africa"
"71","United Kingdom","GB1","United Kingdom","GBR","England","ENG","England","ENG","England","England","ENG","England",NA,"England",NA,NA,"GBR","Europe","Europe","Northern Europe","Europe & Central Asia"
"72","Eritrea","ERI","Eritrea","ERI","Eritrea","ERI","Eritrea","ERI","Eritrea","Eritrea","ERI","Eritrea","State of Eritrea","Eritrea","ERI","ERI","ERI","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"73","Spain","ESP","Spain","ESP","Spain","ESP","Spain","ESP","Spain","Spain","ESP","Spain","Kingdom of Spain","Spain","ESP","ESP","ESP","Europe","Europe","Southern Europe","Europe & Central Asia"
"74","Estonia","EST","Estonia","EST","Estonia","EST","Estonia","EST","Estonia","Estonia","EST","Estonia","Republic of Estonia","Estonia","EST","EST","EST","Europe","Europe","Northern Europe","Europe & Central Asia"
"75","Ethiopia","ETH","Ethiopia","ETH","Ethiopia","ETH","Ethiopia","ETH","Ethiopia","Ethiopia","ETH","Ethiopia","Federal Democratic Republic of Ethiopia","Ethiopia","ETH","ETH","ETH","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"76","Finland","FI1","Finland","FIN","Finland","FIN","Finland","FIN","Finland","Finland","FIN","Finland","Republic of Finland","Finland","FIN","FIN","FIN","Europe","Europe","Northern Europe","Europe & Central Asia"
"77","Fiji","FJI","Fiji","FJI","Fiji","FJI","Fiji","FJI","Fiji","Fiji","FJI","Fiji","Republic of Fiji","Fiji","FJI","FJI","FJI","Oceania","Oceania","Melanesia","East Asia & Pacific"
"78","United Kingdom","GB1","Falkland Islands","FLK","Falkland Islands","FLK","Falkland Islands","FLK","Falkland Is.","Falkland Islands","B12","Falkland Is.","Falkland Islands","Falkland Islands","FLK","FLK","FLK","South America","Americas","South America","Latin America & Caribbean"
"79","Denmark","DN1","Faroe Islands","FRO","Faroe Islands","FRO","Faroe Islands","FRO","Faeroe Is.","Faeroe Islands","FRO","Faeroe Islands","Føroyar Is. (Faeroe Is.)","Faeroe Islands","FRO","FRO","FRO","Europe","Europe","Northern Europe","Europe & Central Asia"
"80","Federated States of Micronesia","FSM","Federated States of Micronesia","FSM","Federated States of Micronesia","FSM","Federated States of Micronesia","FSM","Micronesia","Federated States of Micronesia","FSM","Micronesia","Federated States of Micronesia","Micronesia, Federated States of","FSM","FSM","FSM","Oceania","Oceania","Micronesia","East Asia & Pacific"
"81","France","FR1","France","FRA","France","FXX","France","FXX","France","France","FXX","France","Metropolitan France","France, Metropolitan",NA,"FRA","FRA","Europe","Europe","Western Europe","Europe & Central Asia"
"82","Gabon","GAB","Gabon","GAB","Gabon","GAB","Gabon","GAB","Gabon","Gabon","GAB","Gabon","Gabonese Republic","Gabon","GAB","GAB","GAB","Africa","Africa","Middle Africa","Sub-Saharan Africa"
"83","Israel","ISR","Palestine","PSX","Gaza","GAZ","Gaza","GAZ","Gaza","Gaza","B53","Gaza","Gaza Strip","Gaza Strip",NA,"PSE","PSX","Asia","Asia","Western Asia","Middle East & North Africa"
"84","Georgia","GEO","Georgia","GEO","Georgia","GEG","Georgia","GEG","Georgia","Georgia","GEG","Georgia",NA,"Georgia",NA,"GEO","GEO","Asia","Asia","Western Asia","Europe & Central Asia"
"85","United Kingdom","GB1","Guernsey","GGY","Guernsey","GGY","Guernsey","GGY","Guernsey","Guernsey","GGY","Guernsey","Bailiwick of Guernsey","Guernsey","GGY","GGY","GGY","Europe","Europe","Northern Europe","Europe & Central Asia"
"86","Ghana","GHA","Ghana","GHA","Ghana","GHA","Ghana","GHA","Ghana","Ghana","GHA","Ghana","Republic of Ghana","Ghana","GHA","GHA","GHA","Africa","Africa","Western Africa","Sub-Saharan Africa"
"87","Guinea","GIN","Guinea","GIN","Guinea","GIN","Guinea","GIN","Guinea","Guinea","GIN","Guinea","Republic of Guinea","Guinea","GIN","GIN","GIN","Africa","Africa","Western Africa","Sub-Saharan Africa"
"88","France","FR1","France","FRA","Guadeloupe","GLP","Guadeloupe","GLP","Guadeloupe","Guadeloupe","GLP","Guadeloupe","Department of Guadeloupe","Guadeloupe","GLP","GLP","FRA","North America","Americas","Caribbean","Latin America & Caribbean"
"89","Gambia","GMB","Gambia","GMB","Gambia","GMB","Gambia","GMB","Gambia","The Gambia","GMB","Gambia","Republic of the Gambia","Gambia, The","GMB","GMB","GMB","Africa","Africa","Western Africa","Sub-Saharan Africa"
"90","Guinea Bissau","GNB","Guinea Bissau","GNB","Guinea Bissau","GNB","Guinea Bissau","GNB","Guinea-Bissau","Guinea-Bissau","GNB","Guinea-Bissau","Republic of Guinea-Bissau","Guinea-Bissau","GNB","GNB","GNB","Africa","Africa","Western Africa","Sub-Saharan Africa"
"91","Equatorial Guinea","GNQ","Equatorial Guinea","GNQ","Equatorial Guinea","GNQ","Equatorial Guinea","GNQ","Eq. Guinea","Equatorial Guinea","GNQ","Eq. Guinea","Republic of Equatorial Guinea","Equatorial Guinea","GNQ","GNQ","GNQ","Africa","Africa","Middle Africa","Sub-Saharan Africa"
"92","Greece","GRC","Greece","GRC","Greece","GRC","Greece","GRC","Greece","Greece","GRC","Greece","Hellenic Republic","Greece","GRC","GRC","GRC","Europe","Europe","Southern Europe","Europe & Central Asia"
"93","Grenada","GRD","Grenada","GRD","Grenada","GRD","Grenada","GRD","Grenada","Grenada","GRD","Grenada","Grenada","Grenada","GRD","GRD","GRD","North America","Americas","Caribbean","Latin America & Caribbean"
"94","Denmark","DN1","Greenland","GRL","Greenland","GRL","Greenland","GRL","Greenland","Greenland","GRL","Greenland","Greenland","Greenland","GRL","GRL","GRL","North America","Americas","Northern America","Europe & Central Asia"
"95","Guatemala","GTM","Guatemala","GTM","Guatemala","GTM","Guatemala","GTM","Guatemala","Guatemala","GTM","Guatemala","Republic of Guatemala","Guatemala","GTM","GTM","GTM","North America","Americas","Central America","Latin America & Caribbean"
"96","France","FR1","France","FRA","French Guiana","GUF","French Guiana","GUF","French Guiana","French Guiana","GUF","French Guiana","Department of Guiana","French Guiana","GUF","GUF","FRA","South America","Americas","South America","Latin America & Caribbean"
"97","United States of America","US1","Guam","GUM","Guam","GUM","Guam","GUM","Guam","Guam","GUM","Guam","Territory of Guam","Guam","GUM","GUM","GUM","Oceania","Oceania","Micronesia","East Asia & Pacific"
"98","Guyana","GUY","Guyana","GUY","Guyana","GUY","Guyana","GUY","Guyana","Guyana","GUY","Guyana","Co-operative Republic of Guyana","Guyana","GUY","GUY","GUY","South America","Americas","South America","Latin America & Caribbean"
"99","China","CH1","Hong Kong S.A.R.","HKG","Hong Kong S.A.R.","HKG","Hong Kong S.A.R.","HKG","Hong Kong","Hong Kong","HKG","Hong Kong","Hong Kong Special Administrative Region, PRC","Hong Kong SAR, China","HKG","HKG","HKG","Asia","Asia","Eastern Asia","East Asia & Pacific"
"100","Australia","AU1","Heard Island and McDonald Islands","HMD","Heard Island and McDonald Islands","HMD","Heard Island and McDonald Islands","HMD","Heard I. and McDonald Is.","Heard I. and McDonald Islands","HMD","Heard I. and McDonald Is.","Territory of Heard Island and McDonald Islands","Heard Island and McDonald Islands","HMD","HMD","HMD","Seven seas (open ocean)","Seven seas (open ocean)","Seven seas (open ocean)","Sub-Saharan Africa"
"101","Honduras","HND","Honduras","HND","Honduras","HND","Honduras","HND","Honduras","Honduras","HND","Honduras","Republic of Honduras","Honduras","HND","HND","HND","North America","Americas","Central America","Latin America & Caribbean"
"102","Croatia","HRV","Croatia","HRV","Croatia","HRV","Croatia","HRV","Croatia","Croatia","HRV","Croatia","Republic of Croatia","Croatia","HRV","HRV","HRV","Europe","Europe","Southern Europe","Europe & Central Asia"
"103","Haiti","HTI","Haiti","HTI","Haiti","HTI","Haiti","HTI","Haiti","Haiti","HTI","Haiti","Republic of Haiti","Haiti","HTI","HTI","HTI","North America","Americas","Caribbean","Latin America & Caribbean"
"104","Hungary","HUN","Hungary","HUN","Hungary","HUN","Hungary","HUN","Hungary","Hungary","HUN","Hungary","Republic of Hungary","Hungary","HUN","HUN","HUN","Europe","Europe","Eastern Europe","Europe & Central Asia"
"105","Indonesia","IDN","Indonesia","IDN","Indonesia","IDN","Indonesia","IDN","Indonesia","Indonesia","IDN","Indonesia","Republic of Indonesia","Indonesia","IDN","IDN","IDN","Asia","Asia","South-Eastern Asia","East Asia & Pacific"
"106","United Kingdom","GB1","Isle of Man","IMN","Isle of Man","IMN","Isle of Man","IMN","Isle of Man","Isle of Man","IMN","Isle of Man",NA,"Isle of Man","IMN","IMN","IMN","Europe","Europe","Northern Europe","Europe & Central Asia"
"107","India","IND","India","IND","India","IND","India","IND","India","India","IND","India","Republic of India","India","IND","IND","IND","Asia","Asia","Southern Asia","South Asia"
"108","United Kingdom","GB1","British Indian Ocean Territory","IOT","British Indian Ocean Territory","IOT","British Indian Ocean Territory","IOT","Br. Indian Ocean Ter.","British Indian Ocean Territory","B69","Br. Indian Ocean Ter.",NA,"British Indian Ocean Territory","IOT","IOT","IOT","Seven seas (open ocean)","Seven seas (open ocean)","Seven seas (open ocean)","Sub-Saharan Africa"
"109","Ireland","IRL","Ireland","IRL","Ireland","IRL","Ireland","IRL","Ireland","Ireland","IRL","Ireland","Ireland","Ireland","IRL","IRL","IRL","Europe","Europe","Northern Europe","Europe & Central Asia"
"110","Iran","IRN","Iran","IRN","Iran","IRN","Iran","IRN","Iran","Iran","IRN","Iran","Islamic Republic of Iran","Iran, Islamic Rep.","IRN","IRN","IRN","Asia","Asia","Southern Asia","Middle East & North Africa"
"111","Iraq","IRQ","Iraq","IRQ","Iraq","IRQ","Iraq","IRQ","Iraq","Iraq","IRQ","Iraq","Republic of Iraq","Iraq","IRQ","IRQ","IRQ","Asia","Asia","Western Asia","Middle East & North Africa"
"112","Iceland","ISL","Iceland","ISL","Iceland","ISL","Iceland","ISL","Iceland","Iceland","ISL","Iceland","Republic of Iceland","Iceland","ISL","ISL","ISL","Europe","Europe","Northern Europe","Europe & Central Asia"
"113","Israel","ISR","Israel","ISR","Israel","ISR","Israel","ISR","Israel","Israel","ISR","Israel","State of Israel","Israel","ISR","ISR","ISR","Asia","Asia","Western Asia","Middle East & North Africa"
"114","Italy","ITA","Italy","ITA","Italy","ITA","Italy","ITA","Italy","Italy","ITA","Italy","Italian Republic","Italy","ITA","ITA","ITA","Europe","Europe","Southern Europe","Europe & Central Asia"
"115","Jamaica","JAM","Jamaica","JAM","Jamaica","JAM","Jamaica","JAM","Jamaica","Jamaica","JAM","Jamaica","Jamaica","Jamaica","JAM","JAM","JAM","North America","Americas","Caribbean","Latin America & Caribbean"
"116","United Kingdom","GB1","Jersey","JEY","Jersey","JEY","Jersey","JEY","Jersey","Jersey","JEY","Jersey","Bailiwick of Jersey","Jersey","JEY","JEY","JEY","Europe","Europe","Northern Europe","Europe & Central Asia"
"117","Jordan","JOR","Jordan","JOR","Jordan","JOR","Jordan","JOR","Jordan","Jordan","JOR","Jordan","Hashemite Kingdom of Jordan","Jordan","JOR","JOR","JOR","Asia","Asia","Western Asia","Middle East & North Africa"
"118","Japan","JPN","Japan","JPN","Japan","JPN","Japan","JPN","Japan","Japan","JPN","Japan","Japan","Japan","JPN","JPN","JPN","Asia","Asia","Eastern Asia","East Asia & Pacific"
"119","Kashmir","KAS","Siachen Glacier","KAS","Siachen Glacier","KAS","Siachen Glacier","KAS","Siachen Glacier","Siachen Glacier","B45","Siachen Glacier",NA,"Kashmir",NA,NA,"KAS","Asia","Asia","Southern Asia","South Asia"
"120","Kazakhstan","KAZ","Kazakhstan","KAZ","Kazakhstan","KAZ","Kazakhstan","KAZ","Kazakhstan","Kazakhstan","KAZ","Kazakhstan","Republic of Kazakhstan","Kazakhstan","KAZ","KAZ","KAZ","Asia","Asia","Central Asia","Europe & Central Asia"
"121","Kenya","KEN","Kenya","KEN","Kenya","KEN","Kenya","KEN","Kenya","Kenya","KEN","Kenya","Republic of Kenya","Kenya","KEN","KEN","KEN","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"122","Kyrgyzstan","KGZ","Kyrgyzstan","KGZ","Kyrgyzstan","KGZ","Kyrgyzstan","KGZ","Kyrgyzstan","Kyrgyzstan","KGZ","Kyrgyzstan","Kyrgyz Republic","Kyrgyz Republic","KGZ","KGZ","KGZ","Asia","Asia","Central Asia","Europe & Central Asia"
"123","Cambodia","KHM","Cambodia","KHM","Cambodia","KHM","Cambodia","KHM","Cambodia","Cambodia","KHM","Cambodia","Kingdom of Cambodia","Cambodia","KHM","KHM","KHM","Asia","Asia","South-Eastern Asia","East Asia & Pacific"
"124","Kiribati","KIR","Kiribati","KIR","Kiribati","KIR","Kiribati","KIR","Kiribati","Kiribati","KIR","Kiribati","Republic of Kiribati","Kiribati","KIR","KIR","KIR","Oceania","Oceania","Micronesia","East Asia & Pacific"
"125","Saint Kitts and Nevis","KNA","Saint Kitts and Nevis","KNA","Saint Kitts and Nevis","KNA","Saint Kitts and Nevis","KNA","St. Kitts and Nevis","Saint Kitts and Nevis","KNA","Saint Kitts and Nevis","Federation of Saint Kitts and Nevis","St. Kitts and Nevis","KNA","KNA","KNA","North America","Americas","Caribbean","Latin America & Caribbean"
"126","South Korea","KOR","South Korea","KOR","South Korea","KOR","South Korea","KOR","Korea","Republic of Korea","KOR","Republic of Korea","Republic of Korea","Korea, Rep.","KOR","KOR","KOR","Asia","Asia","Eastern Asia","East Asia & Pacific"
"127","Kosovo","KOS","Kosovo","KOS","Kosovo","KOS","Kosovo","KOS","Kosovo","Kosovo","B57","Kosovo","Republic of Kosovo","Kosovo",NA,"SRB","KOS","Europe","Europe","Southern Europe","Europe & Central Asia"
"128","Kuwait","KWT","Kuwait","KWT","Kuwait","KWT","Kuwait","KWT","Kuwait","Kuwait","KWT","Kuwait","State of Kuwait","Kuwait","KWT","KWT","KWT","Asia","Asia","Western Asia","Middle East & North Africa"
"129","Laos","LAO","Laos","LAO","Laos","LAO","Laos","LAO","Lao PDR","Lao PDR","LAO","Laos","Lao People's Democratic Republic","Lao PDR","LAO","LAO","LAO","Asia","Asia","South-Eastern Asia","East Asia & Pacific"
"130","Lebanon","LBN","Lebanon","LBN","Lebanon","LBN","Lebanon","LBN","Lebanon","Lebanon","LBN","Lebanon","Lebanese Republic","Lebanon","LBN","LBN","LBN","Asia","Asia","Western Asia","Middle East & North Africa"
"131","Liberia","LBR","Liberia","LBR","Liberia","LBR","Liberia","LBR","Liberia","Liberia","LBR","Liberia","Republic of Liberia","Liberia","LBR","LBR","LBR","Africa","Africa","Western Africa","Sub-Saharan Africa"
"132","Libya","LBY","Libya","LBY","Libya","LBY","Libya","LBY","Libya","Libya","LBY","Libya","Libya","Libya","LBY","LBY","LBY","Africa","Africa","Northern Africa","Middle East & North Africa"
"133","Saint Lucia","LCA","Saint Lucia","LCA","Saint Lucia","LCA","Saint Lucia","LCA","Saint Lucia","Saint Lucia","LCA","Saint Lucia","Saint Lucia","St. Lucia","LCA","LCA","LCA","North America","Americas","Caribbean","Latin America & Caribbean"
"134","Liechtenstein","LIE","Liechtenstein","LIE","Liechtenstein","LIE","Liechtenstein","LIE","Liechtenstein","Liechtenstein","LIE","Liechtenstein","Principality of Liechtenstein","Liechtenstein","LIE","LIE","LIE","Europe","Europe","Western Europe","Europe & Central Asia"
"135","Sri Lanka","LKA","Sri Lanka","LKA","Sri Lanka","LKA","Sri Lanka","LKA","Sri Lanka","Sri Lanka","LKA","Sri Lanka","Democratic Socialist Republic of Sri Lanka","Sri Lanka","LKA","LKA","LKA","Asia","Asia","Southern Asia","South Asia"
"136","Lesotho","LSO","Lesotho","LSO","Lesotho","LSO","Lesotho","LSO","Lesotho","Lesotho","LSO","Lesotho","Kingdom of Lesotho","Lesotho","LSO","LSO","LSO","Africa","Africa","Southern Africa","Sub-Saharan Africa"
"137","Lithuania","LTU","Lithuania","LTU","Lithuania","LTU","Lithuania","LTU","Lithuania","Lithuania","LTU","Lithuania","Republic of Lithuania","Lithuania","LTU","LTU","LTU","Europe","Europe","Northern Europe","Europe & Central Asia"
"138","Luxembourg","LUX","Luxembourg","LUX","Luxembourg","LUX","Luxembourg","LUX","Luxembourg","Luxembourg","LUX","Luxembourg","Grand Duchy of Luxembourg","Luxembourg","LUX","LUX","LUX","Europe","Europe","Western Europe","Europe & Central Asia"
"139","Latvia","LVA","Latvia","LVA","Latvia","LVA","Latvia","LVA","Latvia","Latvia","LVA","Latvia","Republic of Latvia","Latvia","LVA","LVA","LVA","Europe","Europe","Northern Europe","Europe & Central Asia"
"140","China","CH1","Macao S.A.R","MAC","Macao S.A.R","MAC","Macao S.A.R","MAC","Macao","Macao","MAC","Macao","Macao Special Administrative Region, PRC","Macao SAR, China","MAC","MAC","MAC","Asia","Asia","Eastern Asia","East Asia & Pacific"
"141","France","FR1","Saint Martin","MAF","Saint Martin","MAF","Saint Martin","MAF","St-Martin","Saint-Martin","MAF","Saint-Martin","Saint-Martin (French part)","St. Martin (French part)","MAF","MAF","MAF","North America","Americas","Caribbean","Latin America & Caribbean"
"142","Morocco","MAR","Morocco","MAR","Morocco","MAR","Morocco","MAR","Morocco","Morocco","MAR","Morocco","Kingdom of Morocco","Morocco","MAR","MAR","MAR","Africa","Africa","Northern Africa","Middle East & North Africa"
"143","Monaco","MCO","Monaco","MCO","Monaco","MCO","Monaco","MCO","Monaco","Monaco","MCO","Monaco","Principality of Monaco","Monaco","MCO","MCO","MCO","Europe","Europe","Western Europe","Europe & Central Asia"
"144","Moldova","MDA","Moldova","MDA","Moldova","MDA","Moldova","MDA","Moldova","Moldova","MDA","Moldova","Republic of Moldova","Moldova","MDA","MDA","MDA","Europe","Europe","Eastern Europe","Europe & Central Asia"
"145","Madagascar","MDG","Madagascar","MDG","Madagascar","MDG","Madagascar","MDG","Madagascar","Madagascar","MDG","Madagascar","Republic of Madagascar","Madagascar","MDG","MDG","MDG","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"146","Maldives","MDV","Maldives","MDV","Maldives","MDV","Maldives","MDV","Maldives","Maldives","MDV","Maldives","Republic of Maldives","Maldives","MDV","MDV","B13","Seven seas (open ocean)","Asia","Southern Asia","South Asia"
"147","Mexico","MEX","Mexico","MEX","Mexico","MEX","Mexico","MEX","Mexico","Mexico","MEX","Mexico","United Mexican States","Mexico","MEX","MEX","MEX","North America","Americas","Central America","Latin America & Caribbean"
"148","Marshall Islands","MHL","Marshall Islands","MHL","Marshall Islands","MHL","Marshall Islands","MHL","Marshall Is.","Marshall Islands","MHL","Marshall Is.","Republic of the Marshall Islands","Marshall Islands","MHL","MHL","MHL","Oceania","Oceania","Micronesia","East Asia & Pacific"
"149","Macedonia","MKD","Macedonia","MKD","Macedonia","MKD","Macedonia","MKD","Macedonia","Macedonia","MKD","Macedonia","Former Yugoslav Republic of Macedonia","Macedonia, FYR","MKD","MKD","MKD","Europe","Europe","Southern Europe","Europe & Central Asia"
"150","Mali","MLI","Mali","MLI","Mali","MLI","Mali","MLI","Mali","Mali","MLI","Mali","Republic of Mali","Mali","MLI","MLI","MLI","Africa","Africa","Western Africa","Sub-Saharan Africa"
"151","Malta","MLT","Malta","MLT","Malta","MLT","Malta","MLT","Malta","Malta","MLT","Malta","Republic of Malta","Malta","MLT","MLT","MLT","Europe","Europe","Southern Europe","Middle East & North Africa"
"152","Myanmar","MMR","Myanmar","MMR","Myanmar","MMR","Myanmar","MMR","Myanmar","Myanmar","MMR","Myanmar","Republic of the Union of Myanmar","Myanmar","MMR","MMR","MMR","Asia","Asia","South-Eastern Asia","East Asia & Pacific"
"153","Montenegro","MNE","Montenegro","MNE","Montenegro","MNE","Montenegro","MNE","Montenegro","Montenegro","MNE","Montenegro","Montenegro","Montenegro","MNE","MNE","MNE","Europe","Europe","Southern Europe","Europe & Central Asia"
"154","Mongolia","MNG","Mongolia","MNG","Mongolia","MNG","Mongolia","MNG","Mongolia","Mongolia","MNG","Mongolia","Mongolia","Mongolia","MNG","MNG","MNG","Asia","Asia","Eastern Asia","East Asia & Pacific"
"155","United States of America","US1","Northern Mariana Islands","MNP","Northern Mariana Islands","MNP","Northern Mariana Islands","MNP","N. Mariana Is.","Northern Mariana Islands","MNP","N. Mariana Is.","Commonwealth of the Northern Mariana Islands","Northern Mariana Islands","MNP","MNP","MNP","Oceania","Oceania","Micronesia","East Asia & Pacific"
"156","Mozambique","MOZ","Mozambique","MOZ","Mozambique","MOZ","Mozambique","MOZ","Mozambique","Mozambique","MOZ","Mozambique","Republic of Mozambique","Mozambique","MOZ","MOZ","MOZ","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"157","Mauritania","MRT","Mauritania","MRT","Mauritania","MRT","Mauritania","MRT","Mauritania","Mauritania","MRT","Mauritania","Islamic Republic of Mauritania","Mauritania","MRT","MRT","MRT","Africa","Africa","Western Africa","Sub-Saharan Africa"
"158","United Kingdom","GB1","Montserrat","MSR","Montserrat","MSR","Montserrat","MSR","Montserrat","Montserrat","MSR","Montserrat",NA,"Montserrat","MSR","MSR","MSR","North America","Americas","Caribbean","Latin America & Caribbean"
"159","France","FR1","France","FRA","Martinique","MTQ","Martinique","MTQ","Martinique","Martinique","MTQ","Martinique","Department of Martinique","Martinique","MTQ","MTQ","FRA","North America","Americas","Caribbean","Latin America & Caribbean"
"160","Mauritius","MUS","Mauritius","MUS","Mauritius","MUS","Mauritius","MUS","Mauritius","Mauritius","MUS","Mauritius","Republic of Mauritius","Mauritius","MUS","MUS","MUS","Seven seas (open ocean)","Africa","Eastern Africa","Sub-Saharan Africa"
"161","Malawi","MWI","Malawi","MWI","Malawi","MWI","Malawi","MWI","Malawi","Malawi","MWI","Malawi","Republic of Malawi","Malawi","MWI","MWI","MWI","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"162","Malaysia","MYS","Malaysia","MYS","Malaysia","MYS","Malaysia","MYS","Malaysia","Malaysia","MYS","Malaysia","Malaysia","Malaysia","MYS","MYS","MYS","Asia","Asia","South-Eastern Asia","East Asia & Pacific"
"163","France","FR1","France","FRA","Mayotte","MYT","Mayotte","MYT","Mayotte","Mayotte","B22","Mayotte","Territorial Collectivity of Mayotte","Mayotte","MYT","MYT","FRA","Africa","Africa","Eastern Africa","Sub-Saharan Africa"
"164","Namibia","NAM","Namibia","NAM","Namibia","NAM","Namibia","NAM","Namibia","Namibia","NAM","Namibia","Republic of Namibia","Namibia","NAM","NAM","NAM","Africa","Africa","Southern Africa","Sub-Saharan Africa"
"165","France","FR1","New Caledonia","NCL","New Caledonia","NCL","New Caledonia","NCL","New Caledonia","New Caledonia","NCL","New Caledonia","New Caledonia","New Caledonia","NCL","NCL","NCL","Oceania","Oceania","Melanesia","East Asia & Pacific"
"166","Niger","NER","Niger","NER","Niger","NER","Niger","NER","Niger","Niger","NER","Niger","Republic of Niger","Niger","NER","NER","NER","Africa","Africa","Western Africa","Sub-Saharan Africa"
"167","Australia","AU1","Norfolk Island","NFK","Norfolk Island","NFK","Norfolk Island","NFK","Norfolk Island","Norfolk Island","NFK","Norfolk Island","Territory of Norfolk Island","Norfolk Island","NFK","NFK","NFK","Oceania","Oceania","Australia and New Zealand","East Asia & Pacific"
"168","Nigeria","NGA","Nigeria","NGA","Nigeria","NGA","Nigeria","NGA","Nigeria","Nigeria","NGA","Nigeria","Federal Republic of Nigeria","Nigeria","NGA","NGA","NGA","Africa","Africa","Western Africa","Sub-Saharan Africa"
"169","Nicaragua","NIC","Nicaragua","NIC","Nicaragua","NIC","Nicaragua","NIC","Nicaragua","Nicaragua","NIC","Nicaragua","Republic of Nicaragua","Nicaragua","NIC","NIC","NIC","North America","Americas","Central America","Latin America & Caribbean"
"170","United Kingdom","GB1","United Kingdom","GBR","Northern Ireland","NIR","Northern Ireland","NIR","N. Ireland","Northern Ireland","NIR","N. Ireland",NA,"Northern Ireland",NA,NA,"GBR","Europe","Europe","Northern Europe","Europe & Central Asia"
"171","New Zealand","NZ1","Niue","NIU","Niue","NIU","Niue","NIU","Niue","Niue","NIU","Niue",NA,"Niue","NIU","NIU","NIU","Oceania","Oceania","Polynesia","East Asia & Pacific"
"172","Norway","NOR","Norway","NOR","Jan Mayen","NJM","Jan Mayen","NJM","Jan Mayen I.","Jan Mayen Island","NJM","Jan Mayen",NA,"Jan Mayen I.",NA,"SJM","NOR","Europe","Europe","Northern Europe","Europe & Central Asia"
"173","Netherlands","NL1","Netherlands","NLD","Netherlands","NLD","Netherlands","NLD","Netherlands","Netherlands","NLD","Netherlands","Kingdom of the Netherlands","Netherlands","NLD","NLD","NLD","Europe","Europe","Western Europe","Europe & Central Asia"
"174","Netherlands","NL1","Netherlands","NLD","Caribbean Netherlands","NLY","Caribbean Netherlands","NLY","Caribbean Netherlands","Caribbean Netherlands","NLY","Caribbean Netherlands","Bonaire, Sint Eustatius, and Saba","Caribbean Netherlands","BES","BES","NLD","North America","Americas","Caribbean","Latin America & Caribbean"
"175","Norway","NOR","Norway","NOR","Norway","NOR","Norway","NOR","Norway","Norway","NOR","Norway","Kingdom of Norway","Norway","NOR","NOR","NOR","Europe","Europe","Northern Europe","Europe & Central Asia"
"176","Nepal","NPL","Nepal","NPL","Nepal","NPL","Nepal","NPL","Nepal","Nepal","NPL","Nepal","Nepal","Nepal","NPL","NPL","NPL","Asia","Asia","Southern Asia","South Asia"
"177","Nauru","NRU","Nauru","NRU","Nauru","NRU","Nauru","NRU","Nauru","Nauru","NRU","Nauru","Republic of Nauru","Nauru","NRU","NRU","NRU","Oceania","Oceania","Micronesia","East Asia & Pacific"
"178","Norway","NOR","Norway","NOR","Svalbard","NSV","Svalbard","NSV","Svalbard Is.","Svalbard Islands","NSV","Svalbard",NA,"Svalbard Is.","SJM","SJM","NOR","Europe","Europe","Northern Europe","Europe & Central Asia"
"179","New Zealand","NZ1","New Zealand","NZL","New Zealand","NZL","New Zealand","NZL","New Zealand","New Zealand","NZL","New Zealand","New Zealand","New Zealand","NZL","NZL","NZL","Oceania","Oceania","Australia and New Zealand","East Asia & Pacific"
